species,section,latitude,longitude
Eucalyptus ophitica,Adnataria,-29.29388889,152.6363889
Eucalyptus ophitica,Adnataria,-29.29388889,152.6363889
Eucalyptus fracta,Adnataria,-32.76722222,151.2072222
Eucalyptus fracta,Adnataria,-32.76722222,151.2072222
Eucalyptus fracta,Adnataria,-32.76722222,151.2072222
Eucalyptus rudderi (E. hypostomatica),Adnataria,-32.99666667,151.2616667
Eucalyptus rudderi (E. hypostomatica),Adnataria,-32.99666667,151.2616667
Eucalyptus rudderi (E. hypostomatica),Adnataria,-32.99666667,151.2616667
Eucalyptus largeana,Adnataria,-32.16861111,151.8880556
Eucalyptus largeana,Adnataria,-32.16861111,151.8880556
Eucalyptus largeana,Adnataria,-32.16861111,151.8880556
Eucalyptus paedoglauca,Adnataria,-19.36083333,146.8083333
Eucalyptus paedoglauca,Adnataria,-19.36083333,146.8083333
Eucalyptus paedoglauca,Adnataria,-19.36083333,146.8083333
Eucalyptus glaucina,Exsertaria,-32.565,151.6022222
Eucalyptus glaucina,Exsertaria,-32.565,151.6022222
Eucalyptus glaucina,Exsertaria,-32.565,151.6022222
Eucalyptus seeana,Exsertaria,-31.52444444,152.7925
Eucalyptus seeana,Exsertaria,-31.52444444,152.7925
Eucalyptus seeana,Exsertaria,-31.52444444,152.7925
Eucalyptus tardecidens,Adnataria,-16.37833333,144.7361111
Eucalyptus tardecidens,Adnataria,-16.37833333,144.7361111
Eucalyptus tardecidens,Adnataria,-16.37833333,144.7361111
Eucalyptus brassiana,Exsertaria,-14.615,143.4511111
Eucalyptus brassiana,Exsertaria,-14.615,143.4511111
Eucalyptus brassiana,Exsertaria,-14.615,143.4511111
Eucalyptus staigeriana,Adnataria,-16.20277778,144.7519444
Eucalyptus staigeriana,Adnataria,-16.20277778,144.7519444
Eucalyptus staigeriana,Adnataria,-16.20277778,144.7519444
Eucalyptus moluccana (northern variant),Adnataria,-17.7275,145.0475
Eucalyptus moluccana (northern variant),Adnataria,-17.7275,145.0475
Eucalyptus moluccana (northern variant),Adnataria,-17.7275,145.0475
Eucalyptus shirleyi,Adnataria,-17.62444444,144.9852778
Eucalyptus shirleyi,Adnataria,-17.62444444,144.9852778
Eucalyptus shirleyi,Adnataria,-17.62444444,144.9852778
Eucalyptus decolor,Adnataria,-24.1975,151.2755556
Eucalyptus decolor,Adnataria,-24.1975,151.2755556
Eucalyptus decolor,Adnataria,-24.1975,151.2755556
Eucalyptus quadricostata,Adnataria,-20.48055556,145.3161111
Eucalyptus quadricostata,Adnataria,-20.48055556,145.3161111
Eucalyptus quadricostata,Adnataria,-20.48055556,145.3161111
Eucalyptus camaldulensis subsp. acuta,Exsertaria,-28.70333333,148.1691667
Eucalyptus camaldulensis subsp. acuta,Exsertaria,-28.70333333,148.1691667
Eucalyptus camaldulensis subsp. acuta,Exsertaria,-28.70333333,148.1691667
Eucalyptus intertexta,Adnataria,-30.39055556,146.8455556
Eucalyptus intertexta,Adnataria,-30.39055556,146.8455556
Eucalyptus intertexta,Adnataria,-30.39055556,146.8455556
Eucalyptus lucens,Adnataria,-24,132.6508333
Eucalyptus lucens,Adnataria,-24,132.6508333
Eucalyptus lucens,Adnataria,-24,132.6508333
Eucalyptus largiflorens (green-leaf variant),Adnataria,-31.7725,140.8911111
Eucalyptus largiflorens (green-leaf variant),Adnataria,-31.7725,140.8911111
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-32.70555556,138.0269444
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-32.70555556,138.0269444
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-32.70555556,138.0269444
Eucalyptus camaldulensis subsp. arida,Exsertaria,-31.88833333,141.2569444
Eucalyptus camaldulensis subsp. arida,Exsertaria,-31.88833333,141.2569444
Eucalyptus camaldulensis subsp. arida,Exsertaria,-31.88833333,141.2569444
