UniqueID,Yearplanted,RowTree,Collector,Population,Status,Current.name,FieldID,Status.1,Observations,TaxonoriginalDN,Section,Regeneration.Strategy,AICorrected,MAT,MAP,Drought2019Scale.mean,Drought2019Scale.sd,Drought2019Scale.l,Drought2020Scale.mean,Drought2020Scale.sd,Drought2020Scale.l,AridityClass,Victoria ,Anne,Sampled.ANU,Threatened NSW,Final
736,1994,R048/T23,D.Nicolle,"West Wyalong, NSW",Alive,Eucalyptus polybractea,CCA0714,OK,,Eucalyptus polybractea,Adnataria,Lignotuber,0.266,16.42917,508,0,0,4,0,0,4,Semiarid,X,x,,,x
736,1994,R048/T24,D.Nicolle,"West Wyalong, NSW",Alive,Eucalyptus polybractea,CCA0715,OK,,Eucalyptus polybractea,Adnataria,Lignotuber,0.266,16.42917,508,0,0,4,0,0,4,Semiarid,X,x,,,x
664,1994,R052/T20,D.Nicolle,"Baryulgil, NSW",Alive,Eucalyptus psammitica,CCA0812,OK,,Eucalyptus psammitica,Eucalyptus,Combination,0.6569,18.84167,1106,0,0,4,1,0,4,DrySubhumid,,,,,
664,1994,R052/T18,D.Nicolle,"Baryulgil, NSW",Alive,Eucalyptus psammitica,CCA0811,OK,,Eucalyptus psammitica,Eucalyptus,Combination,0.6569,18.84167,1106,0,0,4,1,0,4,DrySubhumid,,,,,
751,1994,R048/T25,D.Nicolle,"Wollar, NSW",Alive,Eucalyptus dwyeri,,,,Eucalyptus dwyeri,Exsertaria,Uncertain,0.3934,16.08333,662,0,,,0,,,Semiarid,,x,,,x
751,1994,R048/T26,D.Nicolle,"Wollar, NSW",Alive,Eucalyptus dwyeri,,,,Eucalyptus dwyeri,Exsertaria,Uncertain,0.3934,16.08333,662,0,,,0,,,Semiarid,,x,,,x
751,1994,R048/T27,D.Nicolle,"Wollar, NSW",Alive,Eucalyptus dwyeri,,,,Eucalyptus dwyeri,Exsertaria,Uncertain,0.3934,16.08333,662,0,,,0,,,Semiarid,,x,,,x
690,1994,R049/T01,,"Hermidale, NSW",,Eucalyptus viridis,,,,Eucalyptus viridis,Adnataria,Lignotuber,0.1985,18.2875,415,0,,,0,,,Arid,,x,,,x
690,1994,R049/T02,,"Hermidale, NSW",,Eucalyptus viridis,,,,Eucalyptus viridis,Adnataria,Lignotuber,0.1985,18.2875,415,0,,,0,,,Arid,,x,,,x
690,1994,R049/T03,,"Hermidale, NSW",,Eucalyptus viridis,,,,Eucalyptus viridis,Adnataria,Lignotuber,0.1985,18.2875,415,0,,,0,,,Arid,,x,,,x
681,1994,R049/T05,D.Nicolle,"Kogan, Qld",Alive,Eucalyptus woollsiana,CCA0732,OK,,Eucalyptus woollsiana (E. pilligaensis),Adnataria,Combination,0.31,19.1125,612,0,0,4,0,0,4,Semiarid,X,x,,,x
681,1994,R049/T06,D.Nicolle,"Kogan, Qld",Alive,Eucalyptus woollsiana,CCA0733,OK,,Eucalyptus woollsiana (E. pilligaensis),Adnataria,Combination,0.31,19.1125,612,0,0,4,0,0,4,Semiarid,X,x,x,,x
669,1994,R014/T39,D.Nicolle,"Girraween Nat. Park, Qld",Alive,Eucalyptus brunnea,CCA0164,OK,,Eucalyptus brunnea,Maidenaria,Uncertain,0.5953,13.80833,900,2.6,1.341640786,8,2,1,8,DrySubhumid,,,,,
669,1998,R154/T05,D.Nicolle,"Girraween Nat. Park, Qld",Alive,Eucalyptus brunnea,CCA3220,OK,,Eucalyptus brunnea,Maidenaria,Uncertain,0.5953,13.80833,900,2.6,1.341640786,8,2,1,8,DrySubhumid,,,,,
669,1998,R154/T06,D.Nicolle,"Girraween Nat. Park, Qld",Alive,Eucalyptus brunnea,CCA3221,OK,,Eucalyptus brunnea,Maidenaria,Uncertain,0.5953,13.80833,900,2.6,1.341640786,8,2,1,8,DrySubhumid,,,,,
669,1998,R154/T07,D.Nicolle,"Girraween Nat. Park, Qld",Alive,Eucalyptus brunnea,CCA3222,Dead,,Eucalyptus brunnea,Maidenaria,Uncertain,0.5953,13.80833,900,,,,,,,DrySubhumid,,,,,
669,1998,R154/T08,D.Nicolle,"Girraween Nat. Park, Qld",Alive,Eucalyptus brunnea,CCA3223,Dead,,Eucalyptus brunnea,Maidenaria,Uncertain,0.5953,13.80833,900,,,,,,,DrySubhumid,,,,,
681,1994,R049/T07,D.Nicolle,"Kogan, Qld",Alive,Eucalyptus woollsiana,CCA0734,OK,,Eucalyptus woollsiana (E. pilligaensis),Adnataria,Combination,0.31,19.1125,612,0,0,4,0,0,4,Semiarid,X,x,,,x
681,1994,R049/T08,D.Nicolle,"Kogan, Qld",Alive,Eucalyptus woollsiana,CCA0735,OK,,Eucalyptus woollsiana (E. pilligaensis),Adnataria,Combination,0.31,19.1125,612,0,0,4,0,0,4,Semiarid,X,x,,,x
730,1994,R049/T13,D.Nicolle,"Mt Boppy, NSW",Alive,Eucalyptus morrisii,,,,Eucalyptus morrisii,Exsertaria,Lignotuber,0.1971,18.00833,408,0,,,0,,,Arid,,x,,,x
672,1995,R072/T36,D.Nicolle,"Mt Norman, Qld",Alive,Eucalyptus scoparia,CCA1298,OK,,Eucalyptus scoparia,Maidenaria,Combination,0.5887,19.18333244,894,0,0,2,0,0,2,DrySubhumid,X,,,,
672,1995,R072/T34,D.Nicolle,"Mt Norman, Qld",Alive,Eucalyptus scoparia,CCA1297,OK,,Eucalyptus scoparia,Maidenaria,Combination,0.5887,19.18333244,894,0,0,2,0,0,2,DrySubhumid,X,,,,
730,1994,R049/T14,D.Nicolle,"Mt Boppy, NSW",Alive,Eucalyptus morrisii,,,,Eucalyptus morrisii,Exsertaria,Lignotuber,0.1971,18.00833,408,0,,,0,,,Arid,,x,,,x
730,1994,R049/T15,D.Nicolle,"Mt Boppy, NSW",Alive,Eucalyptus morrisii,,,,Eucalyptus morrisii,Exsertaria,Lignotuber,0.1971,18.00833,408,0,,,0,,,Arid,,x,,,x
690,1994,R049/T17,,"Wandoan, Qld",,Eucalyptus melanophloia subsp. melanophloia,,,,Eucalyptus melanophloia subsp. melanophloia,Adnataria,Combination,0.3006,20.15833,626,0,,1,0,,,Semiarid,,x,x,,x
713,1994,R049/T20,D.Nicolle,"Bororen, Qld",Alive,Eucalyptus tereticornis subsp. tereticornis,CCA0746,OK,,Eucalyptus tereticornis subsp. tereticornis,Exsertaria,Combination,0.5833,21.95,1102,2,0,4,1.75,0.5,4,DrySubhumid,,x,,,x
713,1994,R049/T21,D.Nicolle,"Bororen, Qld",Alive,Eucalyptus tereticornis subsp. tereticornis,CCA0747,OK,,Eucalyptus tereticornis subsp. tereticornis,Exsertaria,Combination,0.5833,21.95,1102,2,0,4,1.75,0.5,4,DrySubhumid,,x,,,x
